name,latitude,longitude,Mammals (total endemic)
Afghanistan,33.93911,67.709953,0
Albania,41.153332,20.168331,0
Algeria,28.033886,1.659626,1
American Samoa,-14.270972,-170.132217,0
Andorra,42.546245,1.601554,0
Angola,-11.202692,17.873887,10
Anguilla,18.220554,-63.068615,0
Antarctica,-75.250973,-0.071389,2
Antigua and Barbuda,17.060816,-61.796428,0
Argentina,-38.416097,-63.616672,85
Armenia,40.069099,45.038189,2
Aruba,12.52111,-69.968338,0
Australia,-25.274398,133.775136,255
Austria,47.516231,14.550072,0
Azerbaijan,40.143105,47.576927,0
Bahamas,25.03428,-77.39628,1
Bahrain,25.930414,50.637772,0
Bangladesh,23.684994,90.356331,0
Barbados,13.193887,-59.543198,0
Belarus,53.709807,27.953389,0
Belgium,50.503887,4.469936,0
Belize,17.189877,-88.49765,0
Benin,9.30769,2.315834,0
Bermuda,32.321384,-64.75737,0
Bhutan,27.514162,90.433601,0
Bolivia,-16.290154,-63.588653,21
Bosnia and Herzegovina,43.915886,17.679076,0
Botswana,-22.328474,24.684866,0
Bouvet Island,-54.423199,3.413194,0
Brazil,-14.235004,-51.92528,203
British Indian Ocean Territory,-6.343194,71.876519,0
British Virgin Islands,18.420695,-64.639968,0
Brunei,4.535277,114.727669,0
Bulgaria,42.733883,25.48583,0
Burkina Faso,12.238333,-1.561593,0
Burundi,-3.373056,29.918886,1
Cambodia,12.565679,104.990963,0
Cameroon,7.369722,12.354722,18
Canada,56.130366,-106.346771,5
Cape Verde,16.002082,-24.013197,0
Cayman Islands,19.513469,-80.566956,19
Central African Republic,6.611111,20.939444,2
Chad,15.454166,18.732207,0
Chile,-35.675147,-71.542969,15
China,35.86166,104.195397,88
Christmas Island,-10.447525,105.690449,4
Cocos Islands,-12.164165,96.870956,0
Colombia,4.570868,-74.297333,45
Comoros,-11.875001,43.872219,4
Congo,-0.228021,15.827659,0
Cook Islands,-21.236736,-159.777671,5
Costa Rica,9.748917,-83.753428,1
Cote d'Ivoire,7.539989,-5.54708,0
Croatia,45.1,15.2,0
Cuba,21.521757,-77.781167,0
Curacao,12.16957,-68.990021,1
Cyprus,35.126413,33.429859,0
Czechia,49.817492,15.472962,4
Democratic Republic of Congo,-4.038333,21.758664,39
Denmark,56.26392,9.501785,0
Djibouti,11.825138,42.590275,0
Dominica,15.414999,-61.370976,1
Dominican Republic,18.735693,-70.162651,0
Ecuador,-1.831239,-78.183406,33
Egypt,26.820553,30.802498,5
El Salvador,13.794185,-88.89653,0
Equatorial Guinea,1.650801,10.267895,3
Eritrea,15.179384,39.782334,0
Estonia,58.595272,25.013607,0
Ethiopia,9.145,40.489673,38
Falkland Islands,-51.796253,-59.523613,1
Faroe Islands,61.892635,-6.911806,0
Fiji,-16.578193,179.414413,1
Finland,61.92411,25.748151,0
France,46.227638,2.213749,0
French Guiana,3.933889,-53.125782,0
French Polynesia,-17.679742,-149.406843,0
French Southern Territories,-49.280366,69.348557,0
Gabon,-0.803689,11.609444,3
Gambia,13.443182,-15.310139,0
Georgia,42.315407,43.356892,0
Germany,51.165691,10.451526,0
Ghana,7.946527,-1.023194,1
Gibraltar,36.137741,-5.345374,0
Greece,39.074208,21.824312,2
Greenland,71.706936,-42.604303,0
Grenada,12.262776,-61.604171,1
Guadeloupe,16.995971,-62.067641,2
Guam,13.444304,144.793731,1
Guatemala,15.783471,-90.230759,6
Guernsey,49.465691,-2.585278,0
Guinea,9.945587,-9.696645,2
Guinea-Bissau,11.803749,-15.180413,0
Guyana,4.860416,-58.93018,0
Haiti,18.971187,-72.285215,7
Heard Island and McDonald Islands,-53.08181,73.504158,0
Honduras,15.199999,-86.241905,6
Hong Kong,22.396428,114.109497,0
Hungary,47.162494,19.503304,0
Iceland,64.963051,-19.020835,0
India,20.593684,78.96288,54
Indonesia,-0.789275,113.921327,295
Iran,32.427908,53.688046,9
Iraq,33.223191,43.679291,0
Ireland,53.41291,-8.24389,0
Isle of Man,54.236107,-4.548056,0
Israel,31.046051,34.851612,1
Italy,41.87194,12.56738,4
Jamaica,18.109581,-77.297508,0
Japan,36.204824,138.252924,46
Jersey,49.214439,-2.13125,0
Jordan,30.585164,36.238414,0
Kazakhstan,48.019573,66.923684,4
Kenya,-0.023559,37.906193,19
Kiribati,-3.370417,-168.734039,0
Kuwait,29.31166,47.481766,0
Kyrgyzstan,41.20438,74.766098,1
Laos,19.85627,102.495496,4
Latvia,56.879635,24.603189,0
Lebanon,33.854721,35.862285,0
Lesotho,-29.609988,28.233608,0
Liberia,6.428055,-9.429499,0
Libya,26.3351,17.228331,2
Liechtenstein,47.166,9.555373,0
Lithuania,55.169438,23.881275,0
Luxembourg,49.815273,6.129583,0
Macao,22.198745,113.543873,0
Madagascar,-18.766947,46.869107,213
Malawi,-13.254308,34.301525,3
Malaysia,4.210484,101.975766,20
Maldives,3.202778,73.22068,0
Mali,17.570692,-3.996166,1
Malta,35.937496,14.375416,0
Marshall Islands,7.131474,171.184478,0
Martinique,14.641528,-61.024174,1
Mauritania,21.00789,-10.940835,0
Mauritius,-20.348404,57.552152,2
Mayotte,-12.8275,45.166244,0
Mexico,23.634501,-102.552784,152
Micronesia (country),7.425554,150.550812,3
Moldova,47.411631,28.369885,0
Monaco,43.750298,7.412841,0
Mongolia,46.862496,103.846656,0
Montenegro,42.708678,19.37439,0
Montserrat,16.742498,-62.187366,0
Morocco,31.791702,-7.09262,4
Mozambique,-18.665695,35.529562,3
Myanmar,21.913965,95.956223,5
Namibia,-22.95764,18.49041,3
Nauru,-0.522778,166.931503,0
Nepal,28.394857,84.124008,2
Netherlands,52.132633,5.291266,0
New Caledonia,-20.904305,165.618042,6
New Zealand,-40.900557,174.885971,4
Nicaragua,12.865416,-85.207229,2
Niger,17.607789,8.081666,0
